BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
84:C9:B2:54:C6:F5,2016-02-27 07:14:23,2016-02-27 07:14:27,5,54,WPA,CCMP TKIP,PSK,-73,2,0,0.  0.  0.  0,15,Wee Ones Parade,
FC:15:B4:A8:CA:35,2016-02-27 07:14:23,2016-02-27 07:14:23,6,54,WPA2,CCMP,PSK,-74,1,0,0.  0.  0.  0,30,HP-Print-35-Officejet Pro 8610,
00:71:C2:AA:E5:70,2016-02-27 07:14:23,2016-02-27 07:14:28,6,54,WPA2 WPA,CCMP TKIP,PSK,-72,4,0,0.  0.  0.  0,7,hoey2.4,
00:71:C2:AA:E5:72,2016-02-27 07:14:23,2016-02-27 07:14:28,6,54,OPN,,,-72,4,0,0.  0.  0.  0,11,xfinitywifi,
92:C7:92:32:E7:60,2016-02-27 07:14:20,2016-02-27 07:14:28,6,54,WPA2,CCMP,PSK,-72,6,0,0.  0.  0.  0,0,,
96:C7:92:1E:D3:30,2016-02-27 07:14:20,2016-02-27 07:14:27,11,54,OPN,,,-71,2,0,0.  0.  0.  0,11,xfinitywifi,
92:C7:92:1E:D3:30,2016-02-27 07:14:19,2016-02-27 07:14:23,11,54,WPA2,CCMP,PSK,-70,2,0,0.  0.  0.  0,0,,
00:71:C2:61:EE:2A,2016-02-27 07:14:20,2016-02-27 07:14:28,1,54,OPN,,,-69,5,0,0.  0.  0.  0,11,xfinitywifi,
DC:85:DE:C1:12:15,2016-02-27 07:14:23,2016-02-27 07:14:27,10,54,OPN,,,-70,2,0,0.  0.  0.  0,8,WMc11215,
EC:1A:59:3B:91:66,2016-02-27 07:14:23,2016-02-27 07:14:27,11,54,WPA2,CCMP,PSK,-71,3,0,0.  0.  0.  0,10,belkin.166,
28:92:4A:C5:8D:3C,2016-02-27 07:14:23,2016-02-27 07:14:23,11,54,WPA2,CCMP,PSK,-70,1,0,0.  0.  0.  0,27,HP-Print-3C-ENVY 120 series,
EC:1A:59:3B:91:69,2016-02-27 07:14:23,2016-02-27 07:14:27,11,54,WPA2,CCMP TKIP,PSK,-70,2,0,0.  0.  0.  0,17,belkin.166.guests,
C0:4A:00:77:F3:14,2016-02-27 07:14:23,2016-02-27 07:14:28,6,54,WPA2 WPA,CCMP,PSK,-69,4,0,0.  0.  0.  0,8,equinoks,
00:71:C2:61:EE:29,2016-02-27 07:14:20,2016-02-27 07:14:28,1,54,WPA2 WPA,CCMP TKIP,PSK,-65,4,0,0.  0.  0.  0,0,,
F6:ED:A5:62:46:40,2016-02-27 07:14:23,2016-02-27 07:14:27,11,54,OPN,,,-61,3,0,0.  0.  0.  0,11,xfinitywifi,
E8:37:7A:42:F9:E1,2016-02-27 07:14:23,2016-02-27 07:14:23,11,54,WPA2 WPA,CCMP TKIP,PSK,-64,1,0,0.  0.  0.  0,15,CenturyLink1130,
40:4A:03:DE:C0:D3,2016-02-27 07:14:22,2016-02-27 07:14:28,3,54,WPA2 WPA,CCMP TKIP,PSK,-63,4,0,0.  0.  0.  0,8,KitKatKo,
06:A1:51:23:5B:B4,2016-02-27 07:14:23,2016-02-27 07:14:23,6,54,WPA2,CCMP,PSK,-62,0,0,0.  0.  0.  0,13,Trilogy-Guest,
62:E3:27:69:E5:60,2016-02-27 07:14:23,2016-02-27 07:14:28,6,54,WPA2,CCMP,PSK,-62,4,0,0.  0.  0.  0,14,imronburgandy?,
