BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
00:71:C2:6F:D6:20,2016-02-27 06:10:15,2016-02-27 06:10:15,6,54,WPA2 WPA,CCMP TKIP,PSK,-78,1,0,0.  0.  0.  0,13,HOME-308A-2.4,
90:C7:92:32:E7:60,2016-02-27 06:10:19,2016-02-27 06:10:19,6,-1,WPA,,,-76,0,1,0.  0.  0.  0,0,,
54:BE:F7:DC:37:7A,2016-02-27 06:10:15,2016-02-27 06:10:23,6,54,OPN,,,-74,3,0,0.  0.  0.  0,11,xfinitywifi,
00:71:C2:6F:D6:21,2016-02-27 06:10:15,2016-02-27 06:10:15,6,54,WPA2 WPA,CCMP TKIP,PSK,-72,2,0,0.  0.  0.  0,0,,
94:44:52:F7:42:E7,2016-02-27 06:10:19,2016-02-27 06:10:24,6,54,WPA2 WPA,CCMP,PSK,-68,3,0,0.  0.  0.  0,3,KCD,
00:71:C2:61:EE:28,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-66,8,0,0.  0.  0.  0,13,HOME-E4CE-2.4,
00:71:C2:6F:D6:22,2016-02-27 06:10:15,2016-02-27 06:10:15,6,54,OPN,,,-66,2,0,0.  0.  0.  0,11,xfinitywifi,
00:71:C2:61:EE:29,2016-02-27 06:10:04,2016-02-27 06:10:17,1,54,WPA2 WPA,CCMP TKIP,PSK,-64,6,0,0.  0.  0.  0,0,,
00:71:C2:61:EE:2A,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,OPN,,,-66,5,0,0.  0.  0.  0,11,xfinitywifi,
C0:4A:00:77:F3:14,2016-02-27 06:10:15,2016-02-27 06:10:24,6,54,WPA2 WPA,CCMP,PSK,-64,4,0,0.  0.  0.  0,8,equinoks,
40:4A:03:DE:C0:D3,2016-02-27 06:10:05,2016-02-27 06:10:05,3,54,WPA2 WPA,CCMP TKIP,PSK,-62,1,0,0.  0.  0.  0,8,KitKatKo,
00:71:C2:AA:E5:71,2016-02-27 06:10:15,2016-02-27 06:10:15,6,54,WPA2 WPA,CCMP TKIP,PSK,-62,1,0,0.  0.  0.  0,0,,
90:EF:68:05:51:D9,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-61,7,0,0.  0.  0.  0,11,FeedTheMoon,
E2:3E:FC:9F:45:10,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2,CCMP,PSK,-59,7,0,0.  0.  0.  0,0,,
9E:34:26:25:AC:C6,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-58,6,0,0.  0.  0.  0,0,,
E8:3E:FC:9F:45:10,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2,CCMP TKIP,PSK,-60,5,0,0.  0.  0.  0,6,Fovich,
9C:34:26:25:AC:C6,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-58,9,2,0.  0.  0.  0,8,Buddy206,
AE:34:26:25:AC:C6,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,OPN,,,-55,11,0,0.  0.  0.  0,11,xfinitywifi,
AA:66:7F:C5:EC:B0,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2,CCMP,PSK,-54,4,32,0.  0.  0.  0,11,Adam.Tucker,
FA:8F:CA:61:6E:4B,2016-02-27 06:10:15,2016-02-27 06:10:23,11,54,OPN,,,-54,3,0,0.  0.  0.  0,0,,
20:4E:7F:A0:B3:82,2016-02-27 06:10:05,2016-02-27 06:10:21,3,54,WEP,WEP,,-50,5,0,0.  0.  0.  0,13,WHAT UP WAZZU,
6C:B0:CE:76:24:9C,2016-02-27 06:10:15,2016-02-27 06:10:23,6,54,WPA2,CCMP,PSK,-49,5,1,0.  0.  0.  0,9,NETGEAR30,
A0:A3:E2:21:6C:85,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-48,1,3,0.  0.  0.  0,7,CarBear,
8C:04:FF:ED:A9:4F,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2 WPA,CCMP TKIP,PSK,-47,8,0,0.  0.  0.  0,9,HOME-A94F,
C0:3F:0E:25:1C:3A,2016-02-27 06:10:15,2016-02-27 06:10:19,11,54,WPA2 WPA,CCMP TKIP,PSK,-47,2,0,0.  0.  0.  0,8,TheLofts,
8E:04:FF:ED:A9:40,2016-02-27 06:10:04,2016-02-27 06:10:24,1,54,WPA2,CCMP,PSK,-46,8,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
8E:04:FF:ED:A9:41,2016-02-27 06:10:04,2016-02-27 06:10:16,1,54,OPN,,,-46,3,0,0.  0.  0.  0,11,xfinitywifi,
14:CC:20:C7:CE:FE,2016-02-27 06:10:15,2016-02-27 06:10:23,5,54,WPA2 WPA,CCMP,PSK,-46,8,0,0.  0.  0.  0,9,Devil Dog,
CC:35:40:48:10:F1,2016-02-27 06:10:19,2016-02-27 06:10:23,11,54,WPA2 WPA,CCMP TKIP,PSK,-46,2,0,0.  0.  0.  0,10,VZ-Seattle,
CE:35:40:48:10:F3,2016-02-27 06:10:20,2016-02-27 06:10:23,11,54,OPN,,,-46,2,0,0.  0.  0.  0,11,xfinitywifi,
22:86:8C:44:07:8E,2016-02-27 06:10:15,2016-02-27 06:10:23,11,54,OPN,,,-43,3,0,0.  0.  0.  0,11,xfinitywifi,
10:5F:06:72:78:35,2016-02-27 06:10:19,2016-02-27 06:10:23,11,54,WPA2 WPA,CCMP TKIP,PSK,-41,3,0,0.  0.  0.  0,15,CenturyLink5546,
10:86:8C:44:07:8E,2016-02-27 06:10:15,2016-02-27 06:10:23,11,54,WPA2 WPA,CCMP TKIP,PSK,-43,2,207,0.  0.  0.  0,5,Roxie,
12:86:8C:44:07:8E,2016-02-27 06:10:15,2016-02-27 06:10:23,11,54,WPA2 WPA,CCMP TKIP,PSK,-51,4,0,0.  0.  0.  0,0,,
D0:BF:9C:51:8E:3E,2016-02-27 06:10:05,2016-02-27 06:10:21,8,54,WPA2,CCMP,PSK,-36,6,0,0.  0.  0.  0,31,HP-Print-3E-Deskjet 2540 series,
40:8B:07:23:86:B5,2016-02-27 06:10:15,2016-02-27 06:10:24,6,54,WPA2,CCMP TKIP,PSK,-33,8,49,0.  0.  0.  0,4,SPQR,
C0:3F:0E:09:75:A4,2016-02-27 06:10:15,2016-02-27 06:10:23,11,54,WPA2 WPA,CCMP TKIP,PSK,-26,2,48,0.  0.  0.  0,4,64oz,
74:85:2A:97:5B:0A,2016-02-27 06:10:04,2016-02-27 06:10:21,8,54,OPN,,,-12,10,0,0.  0.  0.  0,11,xfinitywifi,
74:85:2A:97:5B:08,2016-02-27 06:10:05,2016-02-27 06:10:23,8,54,WPA2,CCMP,PSK,-13,12,0,0.  0.  0.  0,6,Walrus,
74:85:2A:97:5B:09,2016-02-27 06:10:05,2016-02-27 06:10:23,8,54,WPA2 WPA,CCMP TKIP,PSK,-10,12,0,0.  0.  0.  0,0,,
00:25:00:FF:94:73,2016-02-27 06:10:04,2016-02-27 06:10:24,-1,-1,,,,-1,0,0,0.  0.  0.  0,0,,
CE:35:40:48:10:F2,2016-02-27 06:10:23,2016-02-27 06:10:23,11,54,WPA2,CCMP,PSK,-46,1,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
00:71:C2:AA:E5:72,2016-02-27 06:10:24,2016-02-27 06:10:24,6,54,OPN,,,-64,1,0,0.  0.  0.  0,11,xfinitywifi,
62:E3:27:69:E5:60,2016-02-27 06:10:24,2016-02-27 06:10:24,6,54,WPA2,CCMP,PSK,-62,1,0,0.  0.  0.  0,14,imronburgandy?,
90:C7:92:32:E7:60,2016-02-27 06:10:28,2016-02-27 06:10:28,6,54,WPA2,CCMP TKIP,PSK,-72,1,0,0.  0.  0.  0,9,HOME-E762,
08:62:66:40:16:A0,2016-02-27 06:10:28,2016-02-27 06:10:28,6,-1,WPA,,,-72,0,1,0.  0.  0.  0,0,,
C0:4A:00:77:F3:14,2016-02-27 06:10:27,2016-02-27 06:10:32,6,54,WPA2 WPA,CCMP,PSK,-69,2,0,0.  0.  0.  0,8,equinoks,
00:71:C2:AA:E5:71,2016-02-27 06:10:28,2016-02-27 06:10:28,6,54,WPA2 WPA,CCMP TKIP,PSK,-70,1,0,0.  0.  0.  0,0,,
94:57:A5:C6:0A:4C,2016-02-27 06:10:31,2016-02-27 06:10:31,11,54,WPA2,CCMP,PSK,-70,1,0,0.  0.  0.  0,29,DIRECT-4B-HP ENVY 4520 series,
00:71:C2:61:EE:2A,2016-02-27 06:10:28,2016-02-27 06:10:32,1,54,OPN,,,-67,3,0,0.  0.  0.  0,11,xfinitywifi,
5A:23:8C:E4:7D:04,2016-02-27 06:10:31,2016-02-27 06:10:31,11,54,WPA2,CCMP,PSK,-68,1,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
5A:23:8C:E4:7D:05,2016-02-27 06:10:31,2016-02-27 06:10:31,11,54,OPN,,,-68,1,0,0.  0.  0.  0,11,xfinitywifi,
9C:D3:6D:99:14:0B,2016-02-27 06:10:31,2016-02-27 06:10:31,11,54,WPA2,CCMP,PSK,-68,1,0,0.  0.  0.  0,17,"""April Lane's 2.4 """,
54:BE:F7:DC:37:7A,2016-02-27 06:10:27,2016-02-27 06:10:27,6,54,OPN,,,-66,1,0,0.  0.  0.  0,11,xfinitywifi,
E2:3E:FC:9F:45:10,2016-02-27 06:10:28,2016-02-27 06:10:32,1,54,WPA2,CCMP,PSK,-65,3,0,0.  0.  0.  0,0,,
00:71:C2:61:EE:29,2016-02-27 06:10:28,2016-02-27 06:10:28,1,54,WPA2 WPA,CCMP TKIP,PSK,-66,1,0,0.  0.  0.  0,0,,
00:71:C2:61:EE:28,2016-02-27 06:10:28,2016-02-27 06:10:28,1,54,WPA2 WPA,CCMP TKIP,PSK,-65,2,0,0.  0.  0.  0,13,HOME-E4CE-2.4,
00:71:C2:6F:D6:22,2016-02-27 06:10:28,2016-02-27 06:10:28,6,54,OPN,,,-64,1,0,0.  0.  0.  0,11,xfinitywifi,
06:A1:51:23:5B:B4,2016-02-27 06:10:28,2016-02-27 06:10:28,6,54,WPA2,CCMP,PSK,-64,1,0,0.  0.  0.  0,13,Trilogy-Guest,
AE:34:26:25:AC:C6,2016-02-27 06:10:28,2016-02-27 06:10:32,1,54,OPN,,,-59,4,0,0.  0.  0.  0,11,xfinitywifi,
AA:66:7F:C5:EC:B0,2016-02-27 06:10:26,2016-02-27 06:10:30,1,54,WPA2,CCMP,PSK,-60,1,3,0.  0.  0.  0,11,Adam.Tucker,
62:E3:27:69:E5:60,2016-02-27 06:10:28,2016-02-27 06:10:28,6,54,WPA2,CCMP,PSK,-60,1,0,0.  0.  0.  0,14,imronburgandy?,
9C:34:26:25:AC:C6,2016-02-27 06:10:28,2016-02-27 06:10:32,1,54,WPA2 WPA,CCMP TKIP,PSK,-60,5,1,0.  0.  0.  0,8,Buddy206,
9E:34:26:25:AC:C6,2016-02-27 06:10:28,2016-02-27 06:10:32,1,54,WPA2 WPA,CCMP TKIP,PSK,-59,2,0,0.  0.  0.  0,0,,
40:4A:03:DE:C0:D3,2016-02-27 06:10:30,2016-02-27 06:10:34,3,54,WPA2 WPA,CCMP TKIP,PSK,-63,2,0,0.  0.  0.  0,8,KitKatKo,
90:EF:68:05:51:D9,2016-02-27 06:10:28,2016-02-27 06:10:32,1,54,WPA2 WPA,CCMP TKIP,PSK,-59,4,0,0.  0.  0.  0,11,FeedTheMoon,
E8:3E:FC:9F:45:10,2016-02-27 06:10:28,2016-02-27 06:10:32,1,54,WPA2,CCMP TKIP,PSK,-60,4,0,0.  0.  0.  0,6,Fovich,
20:4E:7F:A0:B3:82,2016-02-27 06:10:26,2016-02-27 06:10:30,3,54,WEP,WEP,,-54,3,0,0.  0.  0.  0,13,WHAT UP WAZZU,
FA:8F:CA:69:3B:B1,2016-02-27 06:10:31,2016-02-27 06:10:31,11,54,OPN,,,-54,1,0,0.  0.  0.  0,0,,
CC:35:40:48:10:F1,2016-02-27 06:10:31,2016-02-27 06:10:31,11,54,WPA2 WPA,CCMP TKIP,PSK,-48,1,0,0.  0.  0.  0,10,VZ-Seattle,
10:5F:06:72:78:35,2016-02-27 06:10:27,2016-02-27 06:10:27,11,54,WPA2 WPA,CCMP TKIP,PSK,-46,1,0,0.  0.  0.  0,15,CenturyLink5546,
6C:B0:CE:76:24:9C,2016-02-27 06:10:28,2016-02-27 06:10:32,6,54,WPA2,CCMP,PSK,-49,2,0,0.  0.  0.  0,9,NETGEAR30,
8C:04:FF:ED:A9:4F,2016-02-27 06:10:28,2016-02-27 06:10:32,1,54,WPA2 WPA,CCMP TKIP,PSK,-47,4,0,0.  0.  0.  0,9,HOME-A94F,
8E:04:FF:ED:A9:40,2016-02-27 06:10:28,2016-02-27 06:10:32,1,54,WPA2,CCMP,PSK,-46,3,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
8E:04:FF:ED:A9:41,2016-02-27 06:10:28,2016-02-27 06:10:28,1,54,OPN,,,-46,1,0,0.  0.  0.  0,11,xfinitywifi,
10:86:8C:44:07:8E,2016-02-27 06:10:27,2016-02-27 06:10:35,11,54,WPA2 WPA,CCMP TKIP,PSK,-44,2,237,0.  0.  0.  0,5,Roxie,
12:86:8C:44:07:8E,2016-02-27 06:10:27,2016-02-27 06:10:35,11,54,WPA2 WPA,CCMP TKIP,PSK,-42,3,0,0.  0.  0.  0,0,,
22:86:8C:44:07:8E,2016-02-27 06:10:27,2016-02-27 06:10:31,11,54,OPN,,,-44,4,0,0.  0.  0.  0,11,xfinitywifi,
14:CC:20:C7:CE:FE,2016-02-27 06:10:27,2016-02-27 06:10:35,5,54,WPA2 WPA,CCMP,PSK,-41,5,0,0.  0.  0.  0,9,Devil Dog,
D0:BF:9C:51:8E:3E,2016-02-27 06:10:26,2016-02-27 06:10:33,8,54,WPA2,CCMP,PSK,-34,5,0,0.  0.  0.  0,31,HP-Print-3E-Deskjet 2540 series,
40:8B:07:23:86:B5,2016-02-27 06:10:27,2016-02-27 06:10:32,6,54,WPA2,CCMP TKIP,PSK,-31,4,46,0.  0.  0.  0,4,SPQR,
C0:3F:0E:09:75:A4,2016-02-27 06:10:27,2016-02-27 06:10:35,11,54,WPA2 WPA,CCMP TKIP,PSK,-27,3,54,0.  0.  0.  0,4,64oz,
74:85:2A:97:5B:09,2016-02-27 06:10:26,2016-02-27 06:10:35,8,54,WPA2 WPA,CCMP TKIP,PSK,-14,8,0,0.  0.  0.  0,0,,
74:85:2A:97:5B:0A,2016-02-27 06:10:26,2016-02-27 06:10:35,8,54,OPN,,,-14,12,0,0.  0.  0.  0,11,xfinitywifi,
74:85:2A:97:5B:08,2016-02-27 06:10:26,2016-02-27 06:10:35,8,54,WPA2,CCMP,PSK,-12,7,0,0.  0.  0.  0,6,Walrus,
00:25:00:FF:94:73,2016-02-27 06:10:28,2016-02-27 06:10:34,-1,-1,,,,-1,0,0,0.  0.  0.  0,0,,
94:44:52:F7:42:E7,2016-02-27 06:10:32,2016-02-27 06:10:32,6,54,WPA2 WPA,CCMP,PSK,-70,2,0,0.  0.  0.  0,3,KCD,
FC:15:B4:A8:CA:35,2016-02-27 06:10:32,2016-02-27 06:10:32,6,54,WPA2,CCMP,PSK,-72,1,0,0.  0.  0.  0,30,HP-Print-35-Officejet Pro 8610,
00:71:C2:6F:D6:21,2016-02-27 06:10:32,2016-02-27 06:10:32,6,54,WPA2 WPA,CCMP TKIP,PSK,-76,1,0,0.  0.  0.  0,0,,
54:BE:F7:DC:37:78,2016-02-27 06:10:32,2016-02-27 06:10:32,6,54,WPA2 WPA,CCMP TKIP,PSK,-76,1,0,0.  0.  0.  0,13,HOME-F4A1-2.4,
02:15:99:A9:A5:B8,2016-02-27 06:10:33,2016-02-27 06:10:33,7,54,WPA2,CCMP,PSK,-64,1,0,0.  0.  0.  0,16,DIRECT-HnML-2160,
58:23:8C:E4:7D:03,2016-02-27 06:10:45,2016-02-27 06:10:45,11,54,WPA2 WPA,CCMP TKIP,PSK,-76,1,0,0.  0.  0.  0,9,HOME-7D03,
00:71:C2:6F:D6:21,2016-02-27 06:10:45,2016-02-27 06:10:45,6,54,WPA2 WPA,CCMP TKIP,PSK,-76,1,0,0.  0.  0.  0,0,,
00:71:C2:6F:D6:22,2016-02-27 06:10:41,2016-02-27 06:10:41,6,54,OPN,,,-74,0,0,0.  0.  0.  0,11,xfinitywifi,
5A:23:8C:E4:7D:05,2016-02-27 06:10:45,2016-02-27 06:10:45,11,54,OPN,,,-74,1,0,0.  0.  0.  0,11,xfinitywifi,
54:BE:F7:DC:37:7A,2016-02-27 06:10:44,2016-02-27 06:10:45,6,54,OPN,,,-72,2,0,0.  0.  0.  0,11,xfinitywifi,
54:BE:F7:DC:37:78,2016-02-27 06:10:46,2016-02-27 06:10:46,6,54,WPA2 WPA,CCMP TKIP,PSK,-72,1,0,0.  0.  0.  0,13,HOME-F4A1-2.4,
00:71:C2:6F:D6:20,2016-02-27 06:10:41,2016-02-27 06:10:41,6,54,WPA2 WPA,CCMP TKIP,PSK,-70,0,0,0.  0.  0.  0,13,HOME-308A-2.4,
00:71:C2:61:EE:28,2016-02-27 06:10:46,2016-02-27 06:10:50,1,54,WPA2 WPA,CCMP TKIP,PSK,-69,2,0,0.  0.  0.  0,13,HOME-E4CE-2.4,
C0:4A:00:77:F3:14,2016-02-27 06:10:44,2016-02-27 06:10:45,6,54,WPA2 WPA,CCMP,PSK,-67,2,0,0.  0.  0.  0,8,equinoks,
00:71:C2:AA:E5:71,2016-02-27 06:10:41,2016-02-27 06:10:41,6,54,WPA2 WPA,CCMP TKIP,PSK,-66,1,0,0.  0.  0.  0,0,,
F6:ED:A5:62:46:40,2016-02-27 06:10:45,2016-02-27 06:10:49,11,54,OPN,,,-60,2,0,0.  0.  0.  0,11,xfinitywifi,
AA:66:7F:C5:EC:B0,2016-02-27 06:10:42,2016-02-27 06:10:50,1,54,WPA2,CCMP,PSK,-61,1,49,0.  0.  0.  0,11,Adam.Tucker,
F8:ED:A5:62:46:40,2016-02-27 06:10:45,2016-02-27 06:10:45,11,54,WPA2,CCMP TKIP,PSK,-60,1,0,0.  0.  0.  0,9,HOME-4642,
F2:ED:A5:62:46:40,2016-02-27 06:10:45,2016-02-27 06:10:49,11,54,WPA2,CCMP,PSK,-62,2,0,0.  0.  0.  0,0,,
AE:34:26:25:AC:C6,2016-02-27 06:10:42,2016-02-27 06:10:50,1,54,OPN,,,-57,6,0,0.  0.  0.  0,11,xfinitywifi,
10:5F:06:72:78:35,2016-02-27 06:10:45,2016-02-27 06:10:49,11,54,WPA2 WPA,CCMP TKIP,PSK,-51,4,0,0.  0.  0.  0,15,CenturyLink5546,
9E:34:26:25:AC:C6,2016-02-27 06:10:42,2016-02-27 06:10:50,1,54,WPA2 WPA,CCMP TKIP,PSK,-59,2,0,0.  0.  0.  0,0,,
90:EF:68:05:51:D9,2016-02-27 06:10:42,2016-02-27 06:10:50,1,54,WPA2 WPA,CCMP TKIP,PSK,-61,4,9,0.  0.  0.  0,11,FeedTheMoon,
FA:8F:CA:69:3B:B1,2016-02-27 06:10:45,2016-02-27 06:10:45,11,54,OPN,,,-56,2,0,0.  0.  0.  0,0,,
9C:34:26:25:AC:C6,2016-02-27 06:10:46,2016-02-27 06:10:50,1,54,WPA2 WPA,CCMP TKIP,PSK,-58,3,0,0.  0.  0.  0,8,Buddy206,
FA:8F:CA:61:6E:4B,2016-02-27 06:10:44,2016-02-27 06:10:49,11,54,OPN,,,-54,2,0,0.  0.  0.  0,0,,
20:4E:7F:A0:B3:82,2016-02-27 06:10:43,2016-02-27 06:10:47,3,54,WEP,WEP,,-46,2,0,0.  0.  0.  0,13,WHAT UP WAZZU,
6C:B0:CE:76:24:9C,2016-02-27 06:10:42,2016-02-27 06:10:50,6,54,WPA2,CCMP,PSK,-48,3,1,0.  0.  0.  0,9,NETGEAR30,
A0:A3:E2:21:6C:85,2016-02-27 06:10:42,2016-02-27 06:10:50,1,54,WPA2 WPA,CCMP TKIP,PSK,-49,2,2,0.  0.  0.  0,7,CarBear,
62:E3:27:69:E5:60,2016-02-27 06:10:41,2016-02-27 06:10:41,6,54,WPA2,CCMP,PSK,-48,1,0,0.  0.  0.  0,14,imronburgandy?,
C0:3F:0E:25:1C:3A,2016-02-27 06:10:42,2016-02-27 06:10:49,11,54,WPA2 WPA,CCMP TKIP,PSK,-46,5,1,0.  0.  0.  0,8,TheLofts,
8C:04:FF:ED:A9:4F,2016-02-27 06:10:42,2016-02-27 06:10:50,1,54,WPA2 WPA,CCMP TKIP,PSK,-46,4,0,0.  0.  0.  0,9,HOME-A94F,
8E:04:FF:ED:A9:40,2016-02-27 06:10:42,2016-02-27 06:10:50,1,54,WPA2,CCMP,PSK,-45,4,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
CC:35:40:48:10:F1,2016-02-27 06:10:45,2016-02-27 06:10:49,11,54,WPA2 WPA,CCMP TKIP,PSK,-47,2,0,0.  0.  0.  0,10,VZ-Seattle,
8E:04:FF:ED:A9:41,2016-02-27 06:10:46,2016-02-27 06:10:46,1,54,OPN,,,-46,1,0,0.  0.  0.  0,11,xfinitywifi,
22:86:8C:44:07:8E,2016-02-27 06:10:44,2016-02-27 06:10:49,11,54,OPN,,,-44,3,0,0.  0.  0.  0,11,xfinitywifi,
10:86:8C:44:07:8E,2016-02-27 06:10:44,2016-02-27 06:10:49,11,54,WPA2 WPA,CCMP TKIP,PSK,-42,3,61,0.  0.  0.  0,5,Roxie,
14:CC:20:C7:CE:FE,2016-02-27 06:10:45,2016-02-27 06:10:49,5,54,WPA2 WPA,CCMP,PSK,-42,4,0,0.  0.  0.  0,9,Devil Dog,
12:86:8C:44:07:8E,2016-02-27 06:10:45,2016-02-27 06:10:49,11,54,WPA2 WPA,CCMP TKIP,PSK,-43,5,0,0.  0.  0.  0,0,,
D0:BF:9C:51:8E:3E,2016-02-27 06:10:42,2016-02-27 06:10:47,8,54,WPA2,CCMP,PSK,-35,4,0,0.  0.  0.  0,31,HP-Print-3E-Deskjet 2540 series,
40:8B:07:23:86:B5,2016-02-27 06:10:41,2016-02-27 06:10:50,6,54,WPA2,CCMP TKIP,PSK,-32,4,106,0.  0.  0.  0,4,SPQR,
C0:3F:0E:09:75:A4,2016-02-27 06:10:44,2016-02-27 06:10:49,11,54,WPA2 WPA,CCMP TKIP,PSK,-23,2,78,0.  0.  0.  0,4,64oz,
74:85:2A:97:5B:09,2016-02-27 06:10:43,2016-02-27 06:10:50,8,54,WPA2 WPA,CCMP TKIP,PSK,-14,6,0,0.  0.  0.  0,0,,
74:85:2A:97:5B:0A,2016-02-27 06:10:43,2016-02-27 06:10:49,8,54,OPN,,,-14,8,0,0.  0.  0.  0,11,xfinitywifi,
74:85:2A:97:5B:08,2016-02-27 06:10:42,2016-02-27 06:10:47,8,54,WPA2,CCMP,PSK,-10,5,0,0.  0.  0.  0,6,Walrus,
00:25:00:FF:94:73,2016-02-27 06:10:42,2016-02-27 06:10:50,-1,-1,,,,-1,0,0,0.  0.  0.  0,0,,
EC:1A:59:3B:91:66,2016-02-27 06:10:45,2016-02-27 06:10:45,-1,-1,,,,-1,0,0,0.  0.  0.  0,0,,
94:44:52:F7:42:E7,2016-02-27 06:10:48,2016-02-27 06:10:50,6,54,WPA2 WPA,CCMP,PSK,-71,1,2,0.  0.  0.  0,3,KCD,
00:71:C2:61:EE:29,2016-02-27 06:10:49,2016-02-27 06:10:49,1,54,WPA2 WPA,CCMP TKIP,PSK,-68,1,0,0.  0.  0.  0,0,,
46:32:C8:D0:73:11,2016-02-27 06:10:49,2016-02-27 06:10:49,11,54,WPA2,CCMP,PSK,-68,1,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
90:C7:92:32:E7:60,2016-02-27 06:10:49,2016-02-27 06:10:49,6,-1,WPA,,,-72,0,2,0.  0.  0.  0,0,,
00:71:C2:AA:E5:72,2016-02-27 06:10:49,2016-02-27 06:10:49,6,54,OPN,,,-62,1,0,0.  0.  0.  0,11,xfinitywifi,
00:71:C2:61:EE:2A,2016-02-27 06:10:50,2016-02-27 06:10:50,1,54,OPN,,,-66,1,0,0.  0.  0.  0,11,xfinitywifi,
54:BE:F7:DC:37:7A,2016-02-27 06:10:57,2016-02-27 06:10:57,6,54,OPN,,,-78,1,0,0.  0.  0.  0,11,xfinitywifi,
92:C7:92:32:E7:60,2016-02-27 06:11:00,2016-02-27 06:11:00,6,54,WPA2,CCMP,PSK,-74,1,0,0.  0.  0.  0,0,,
00:71:C2:6F:D6:22,2016-02-27 06:11:01,2016-02-27 06:11:01,6,54,OPN,,,-74,1,0,0.  0.  0.  0,11,xfinitywifi,
90:C7:92:32:E7:60,2016-02-27 06:11:00,2016-02-27 06:11:04,6,54,WPA2,CCMP TKIP,PSK,-69,1,2,0.  0.  0.  0,9,HOME-E762,
00:71:C2:61:EE:28,2016-02-27 06:10:57,2016-02-27 06:11:05,1,54,WPA2 WPA,CCMP TKIP,PSK,-68,6,0,0.  0.  0.  0,13,HOME-E4CE-2.4,
00:71:C2:AA:E5:71,2016-02-27 06:11:01,2016-02-27 06:11:01,6,54,WPA2 WPA,CCMP TKIP,PSK,-68,1,0,0.  0.  0.  0,0,,
C0:4A:00:77:F3:14,2016-02-27 06:10:57,2016-02-27 06:11:05,6,54,WPA2 WPA,CCMP,PSK,-67,2,0,0.  0.  0.  0,8,equinoks,
E2:3E:FC:9F:45:10,2016-02-27 06:10:57,2016-02-27 06:11:05,1,54,WPA2,CCMP,PSK,-66,3,0,0.  0.  0.  0,0,,
00:71:C2:61:EE:2A,2016-02-27 06:10:57,2016-02-27 06:11:01,1,54,OPN,,,-66,2,0,0.  0.  0.  0,11,xfinitywifi,
40:4A:03:DE:C0:D3,2016-02-27 06:10:58,2016-02-27 06:10:58,3,54,WPA2 WPA,CCMP TKIP,PSK,-66,1,0,0.  0.  0.  0,8,KitKatKo,
04:A1:51:23:5B:B3,2016-02-27 06:11:01,2016-02-27 06:11:01,1,54,WPA2,CCMP,PSK,-66,1,0,0.  0.  0.  0,19,TrilogyChiropractic,
00:71:C2:61:EE:29,2016-02-27 06:10:57,2016-02-27 06:11:05,1,54,WPA2 WPA,CCMP TKIP,PSK,-65,4,0,0.  0.  0.  0,0,,
E8:3E:FC:9F:45:10,2016-02-27 06:10:57,2016-02-27 06:11:05,1,54,WPA2,CCMP TKIP,PSK,-62,4,0,0.  0.  0.  0,6,Fovich,
90:EF:68:05:51:D9,2016-02-27 06:10:57,2016-02-27 06:11:05,1,54,WPA2 WPA,CCMP TKIP,PSK,-62,6,0,0.  0.  0.  0,11,FeedTheMoon,
9E:34:26:25:AC:C6,2016-02-27 06:10:57,2016-02-27 06:11:05,1,54,WPA2 WPA,CCMP TKIP,PSK,-58,2,0,0.  0.  0.  0,0,,
AE:34:26:25:AC:C6,2016-02-27 06:10:57,2016-02-27 06:11:05,1,54,OPN,,,-60,7,0,0.  0.  0.  0,11,xfinitywifi,
AA:66:7F:C5:EC:B0,2016-02-27 06:10:57,2016-02-27 06:11:05,1,54,WPA2,CCMP,PSK,-55,3,0,0.  0.  0.  0,11,Adam.Tucker,
