Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
DE:16:1F:BC:9D:D2,2016-02-27 07:33:52,2016-02-27 07:34:01,-56,13,00:25:00:FF:94:73,
6C:AD:F8:1B:99:41,2016-02-27 07:33:56,2016-02-27 07:33:56,-56,17,10:86:8C:44:07:8E,
90:18:7C:7A:FF:F7,2016-02-27 07:33:54,2016-02-27 07:33:54,-40,2,C0:3F:0E:09:75:A4,
A4:B8:05:88:85:95,2016-02-27 07:34:07,2016-02-27 07:34:07,-64,1,94:44:52:F7:42:E7,
F0:4F:7C:9F:C8:0D,2016-02-27 07:34:08,2016-02-27 07:34:08,-58,5,AA:66:7F:C5:EC:B0,
6C:AD:F8:1B:99:41,2016-02-27 07:34:07,2016-02-27 07:34:13,-56,134,10:86:8C:44:07:8E,
DE:16:1F:BC:9D:D2,2016-02-27 07:34:07,2016-02-27 07:34:16,-56,11,00:25:00:FF:94:73,
5C:AA:FD:6D:10:D1,2016-02-27 07:34:07,2016-02-27 07:34:07,-40,1,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
90:18:7C:7A:FF:F7,2016-02-27 07:34:13,2016-02-27 07:34:13,-42,1,C0:3F:0E:09:75:A4,
6C:AD:F8:28:07:EA,2016-02-27 07:34:15,2016-02-27 07:34:15,-60,2,C0:3F:0E:09:75:A4,
C0:D9:62:44:3D:E2,2016-02-27 07:34:15,2016-02-27 07:34:15,-60,10,94:44:52:F7:42:E7,
C0:CE:CD:2B:0A:37,2016-02-27 07:34:15,2016-02-27 07:34:15,-1,6,90:C7:92:32:E7:60,
00:20:00:84:16:F2,2016-02-27 07:34:15,2016-02-27 07:34:15,-68,1,(not associated),hnetwork-2-guest
5C:AA:FD:46:39:DB,2016-02-27 07:34:26,2016-02-27 07:34:26,-64,1,(not associated),Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
C0:D9:62:44:3D:E2,2016-02-27 07:34:26,2016-02-27 07:34:30,-60,59,94:44:52:F7:42:E7,
6C:AD:F8:1B:99:41,2016-02-27 07:34:22,2016-02-27 07:34:28,-58,92,10:86:8C:44:07:8E,
6C:AD:F8:28:07:EA,2016-02-27 07:34:24,2016-02-27 07:34:26,-58,5,C0:3F:0E:09:75:A4,
DE:16:1F:BC:9D:D2,2016-02-27 07:34:22,2016-02-27 07:34:31,-56,11,00:25:00:FF:94:73,
F0:4F:7C:9F:C8:0D,2016-02-27 07:34:22,2016-02-27 07:34:31,-48,13,AA:66:7F:C5:EC:B0,"Adam.Tucker,vmguest"
90:18:7C:7A:FF:F7,2016-02-27 07:34:26,2016-02-27 07:34:26,-44,1,C0:3F:0E:09:75:A4,
5C:AA:FD:6D:10:D0,2016-02-27 07:34:24,2016-02-27 07:34:29,-40,3,14:CC:20:C7:CE:FE,
34:4D:F7:1C:28:C4,2016-02-27 07:34:37,2016-02-27 07:34:38,-66,2,(not associated),
A0:39:F7:79:E5:3A,2016-02-27 07:34:41,2016-02-27 07:34:46,-60,2,(not associated),
5C:AA:FD:46:39:DB,2016-02-27 07:34:37,2016-02-27 07:34:37,-62,1,(not associated),Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
D8:30:62:54:8A:0C,2016-02-27 07:34:38,2016-02-27 07:34:41,-60,2,90:EF:68:05:51:D9,
DE:16:1F:BC:9D:D2,2016-02-27 07:34:37,2016-02-27 07:34:46,-56,8,00:25:00:FF:94:73,
6C:AD:F8:1B:99:41,2016-02-27 07:34:37,2016-02-27 07:34:41,-56,128,10:86:8C:44:07:8E,
F0:4F:7C:9F:C8:0D,2016-02-27 07:34:37,2016-02-27 07:34:46,-58,4,AA:66:7F:C5:EC:B0,
5C:B9:01:56:D6:73,2016-02-27 07:34:44,2016-02-27 07:34:44,-1,1,14:CC:20:C7:CE:FE,
C0:D9:62:44:3D:E2,2016-02-27 07:34:56,2016-02-27 07:35:00,-62,3,94:44:52:F7:42:E7,
6C:AD:F8:1B:99:41,2016-02-27 07:34:52,2016-02-27 07:34:58,-58,110,10:86:8C:44:07:8E,
F0:4F:7C:9F:C8:0D,2016-02-27 07:34:52,2016-02-27 07:34:52,-58,1,AA:66:7F:C5:EC:B0,
6C:AD:F8:28:07:EA,2016-02-27 07:34:56,2016-02-27 07:35:00,-58,7,C0:3F:0E:09:75:A4,
DE:16:1F:BC:9D:D2,2016-02-27 07:34:52,2016-02-27 07:35:01,-54,9,00:25:00:FF:94:73,
1C:99:4C:2F:B8:6C,2016-02-27 07:34:56,2016-02-27 07:34:56,-54,4,C0:3F:0E:09:75:A4,
E8:AB:FA:50:2F:E4,2016-02-27 07:34:59,2016-02-27 07:34:59,-74,1,A2:E4:CB:56:21:6C,
FC:C2:DE:C7:D8:32,2016-02-27 06:18:32,2016-02-27 06:18:32,-62,1,90:EF:68:05:51:D9,
F0:4F:7C:9F:C8:0D,2016-02-27 06:18:31,2016-02-27 06:18:32,-58,21,AA:66:7F:C5:EC:B0,
6C:AD:F8:28:07:EA,2016-02-27 06:18:28,2016-02-27 06:18:35,-52,151,C0:3F:0E:09:75:A4,
DE:16:1F:BC:9D:D2,2016-02-27 06:18:28,2016-02-27 06:18:35,-58,6,00:25:00:FF:94:73,
D0:E1:40:9A:13:8E,2016-02-27 06:18:30,2016-02-27 06:18:35,-40,27,40:8B:07:23:86:B5,
F0:27:2D:68:20:AD,2016-02-27 06:18:31,2016-02-27 06:18:31,-1,1,90:C7:92:32:E7:60,
90:18:7C:7A:FF:F7,2016-02-27 06:18:34,2016-02-27 06:18:34,-56,3,C0:3F:0E:09:75:A4,
C0:D9:62:44:3D:E2,2016-02-27 07:35:11,2016-02-27 07:35:11,-64,2,94:44:52:F7:42:E7,
6C:AD:F8:1B:99:41,2016-02-27 07:35:07,2016-02-27 07:35:11,-58,16,10:86:8C:44:07:8E,
F0:4F:7C:9F:C8:0D,2016-02-27 07:35:07,2016-02-27 07:35:16,-56,113,AA:66:7F:C5:EC:B0,
00:20:00:84:16:F2,2016-02-27 07:35:25,2016-02-27 07:35:32,-66,4,(not associated),hnetwork-2-guest
6C:AD:F8:28:07:EA,2016-02-27 07:35:26,2016-02-27 07:35:28,-60,10,C0:3F:0E:09:75:A4,
DE:16:1F:BC:9D:D2,2016-02-27 07:35:23,2016-02-27 07:35:31,-58,11,00:25:00:FF:94:73,
F0:4F:7C:9F:C8:0D,2016-02-27 07:35:25,2016-02-27 07:35:27,-56,21,AA:66:7F:C5:EC:B0,
84:78:8B:81:DC:C4,2016-02-27 07:35:22,2016-02-27 07:35:22,-50,4,40:8B:07:23:86:B5,SPQR
90:18:7C:7A:FF:F7,2016-02-27 07:35:26,2016-02-27 07:35:26,-44,3,C0:3F:0E:09:75:A4,
6C:AD:F8:1B:99:41,2016-02-27 07:35:22,2016-02-27 07:35:22,-1,8,10:86:8C:44:07:8E,
A4:B8:05:CE:47:9E,2016-02-27 07:35:30,2016-02-27 07:35:30,-74,1,F8:ED:A5:62:46:40,
00:20:00:84:16:F2,2016-02-27 07:35:39,2016-02-27 07:35:44,-68,4,(not associated),hnetwork-2-guest
6C:AD:F8:1B:99:41,2016-02-27 07:35:37,2016-02-27 07:35:44,-56,164,10:86:8C:44:07:8E,
DE:16:1F:BC:9D:D2,2016-02-27 07:35:37,2016-02-27 07:35:46,-56,12,00:25:00:FF:94:73,
74:81:14:9E:F2:79,2016-02-27 07:35:41,2016-02-27 07:35:41,-48,1,14:CC:20:C7:CE:FE,
5C:AA:FD:6D:10:D1,2016-02-27 07:35:39,2016-02-27 07:35:39,-42,1,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
1C:99:4C:2F:B8:6C,2016-02-27 07:35:40,2016-02-27 07:35:40,-1,1,C0:3F:0E:09:75:A4,
D0:25:98:5F:1F:77,2016-02-27 07:35:42,2016-02-27 07:35:42,-1,5,A0:A3:E2:21:6C:85,
9C:04:EB:AC:78:39,2016-02-27 07:35:46,2016-02-27 07:35:46,-68,1,(not associated),
00:20:00:84:16:F2,2016-02-27 07:35:52,2016-02-27 07:35:52,-66,2,(not associated),
D8:30:62:54:8A:0C,2016-02-27 07:35:53,2016-02-27 07:35:53,-60,1,90:EF:68:05:51:D9,
F0:4F:7C:9F:C8:0D,2016-02-27 07:35:55,2016-02-27 07:36:01,-56,52,AA:66:7F:C5:EC:B0,
6C:AD:F8:1B:99:41,2016-02-27 07:35:52,2016-02-27 07:35:52,-56,20,10:86:8C:44:07:8E,
DE:16:1F:BC:9D:D2,2016-02-27 07:35:53,2016-02-27 07:36:01,-56,4,00:25:00:FF:94:73,
34:4D:F7:1C:28:C4,2016-02-27 07:35:58,2016-02-27 07:35:58,-62,1,(not associated),
5C:AA:FD:6D:10:D0,2016-02-27 07:35:58,2016-02-27 07:35:58,-40,1,14:CC:20:C7:CE:FE,
C0:D9:62:44:3D:E2,2016-02-27 07:35:59,2016-02-27 07:35:59,-60,1,94:44:52:F7:42:E7,
00:20:00:84:16:F2,2016-02-27 07:36:10,2016-02-27 07:36:10,-66,3,(not associated),hnetwork-2-guest
F0:4F:7C:9F:C8:0D,2016-02-27 07:36:07,2016-02-27 07:36:12,-58,33,AA:66:7F:C5:EC:B0,
1C:99:4C:2F:B8:6C,2016-02-27 07:36:11,2016-02-27 07:36:11,-58,3,C0:3F:0E:09:75:A4,
DE:16:1F:BC:9D:D2,2016-02-27 07:36:08,2016-02-27 07:36:16,-56,10,00:25:00:FF:94:73,
6C:AD:F8:1B:99:41,2016-02-27 07:36:11,2016-02-27 07:36:11,-56,50,10:86:8C:44:07:8E,
6C:AD:F8:28:07:EA,2016-02-27 07:36:11,2016-02-27 07:36:11,-1,2,C0:3F:0E:09:75:A4,
5C:AA:FD:46:39:DB,2016-02-27 07:36:14,2016-02-27 07:36:14,-64,1,(not associated),Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
00:0E:58:E9:24:B5,2016-02-27 07:36:15,2016-02-27 07:36:15,-62,1,(not associated),Sonos_zgCcfASRPuguqRQmWGuRMELbMc
